Date,City,Temperature_F
8/24/2025,New York,68.5
8/25/2025,New York,57.5
8/26/2025,New York,66
8/27/2025,New York,62.2
8/28/2025,New York,67.9
8/29/2025,New York,60.9
8/30/2025,New York,63.2
8/31/2025,New York,65.3
9/1/2025,New York,66.3
9/2/2025,New York,57.6
9/3/2025,New York,60.7
9/4/2025,New York,59.7
9/5/2025,New York,58.6
9/6/2025,New York,67.8
9/7/2025,New York,62
9/8/2025,New York,54.9
9/9/2025,New York,63.2
9/10/2025,New York,67.6
9/11/2025,New York,62.8
9/12/2025,New York,52.1
9/13/2025,New York,55.9
9/14/2025,New York,62.4
9/15/2025,New York,54.1
9/16/2025,New York,58.3
9/17/2025,New York,59.2
9/18/2025,New York,51.9
9/19/2025,New York,55
9/20/2025,New York,41.8
9/21/2025,New York,50.3
9/22/2025,New York,52.9
9/23/2025,New York,48.5
9/24/2025,New York,59.6
9/25/2025,New York,46.9
9/26/2025,New York,50.4
9/27/2025,New York,52.3
9/28/2025,New York,57.1
9/29/2025,New York,45.2
9/30/2025,New York,55.2
10/1/2025,New York,50.1
10/2/2025,New York,45.7
10/3/2025,New York,51.1
10/4/2025,New York,49.6
10/5/2025,New York,46
10/6/2025,New York,48.3
10/7/2025,New York,46
10/8/2025,New York,47.6
10/9/2025,New York,49.4
10/10/2025,New York,52.7
10/11/2025,New York,41
10/12/2025,New York,54.1
10/13/2025,New York,37.4
10/14/2025,New York,44.2
10/15/2025,New York,46.7
10/16/2025,New York,45.1
10/17/2025,New York,41.1
10/18/2025,New York,42.4
10/19/2025,New York,40.9
10/20/2025,New York,40.1
10/21/2025,New York,45.5
10/22/2025,New York,43.2
10/23/2025,New York,38.6
10/24/2025,New York,44.6
10/25/2025,New York,41.9
10/26/2025,New York,43.6
10/27/2025,New York,42.5
10/28/2025,New York,36.3
10/29/2025,New York,37
10/30/2025,New York,41.9
10/31/2025,New York,41.1
11/1/2025,New York,38.2
11/2/2025,New York,38.4
11/3/2025,New York,42.8
11/4/2025,New York,35
11/5/2025,New York,39.2
11/6/2025,New York,36
11/7/2025,New York,35.6
11/8/2025,New York,40.6
11/9/2025,New York,39.2
11/10/2025,New York,38.9
11/11/2025,New York,40.6
11/12/2025,New York,35.2
11/13/2025,New York,37.6
11/14/2025,New York,33.3
11/15/2025,New York,35.6
11/16/2025,New York,33.6
11/17/2025,New York,34.3
11/18/2025,New York,36
11/19/2025,New York,30.1
11/20/2025,New York,41.6
11/21/2025,New York,29
11/22/2025,New York,27.9
11/23/2025,New York,37.2
11/24/2025,New York,35.6
11/25/2025,New York,34.7
11/26/2025,New York,34.6
11/27/2025,New York,31.8
11/28/2025,New York,28.1
11/29/2025,New York,31.9
11/30/2025,New York,28.7
12/1/2025,New York,35.2
12/2/2025,New York,30.6
12/3/2025,New York,27.7
12/4/2025,New York,29.6
12/5/2025,New York,32.5
12/6/2025,New York,28.4
12/7/2025,New York,27.3
12/8/2025,New York,31.5
12/9/2025,New York,31.4
12/10/2025,New York,28.3
12/11/2025,New York,28.4
12/12/2025,New York,31.2
12/13/2025,New York,24.4
12/14/2025,New York,24.5
12/15/2025,New York,27.2
12/16/2025,New York,29.2
12/17/2025,New York,31.3
12/18/2025,New York,35.9
12/19/2025,New York,33.4
12/20/2025,New York,29.4
12/21/2025,New York,29.9
12/22/2025,New York,26
12/23/2025,New York,30
12/24/2025,New York,28.9
12/25/2025,New York,31.4
12/26/2025,New York,26.8
12/27/2025,New York,32.3
12/28/2025,New York,36.4
12/29/2025,New York,29.9
12/30/2025,New York,32
12/31/2025,New York,33.2
1/1/2025,Los Angeles,53.6
1/2/2025,Los Angeles,56.2
1/3/2025,Los Angeles,55.3
1/4/2025,Los Angeles,55.7
1/5/2025,Los Angeles,52.3
1/6/2025,Los Angeles,55.5
1/7/2025,Los Angeles,57.5
1/8/2025,Los Angeles,61.3
1/9/2025,Los Angeles,59.4
1/10/2025,Los Angeles,64.3
1/11/2025,Los Angeles,52.7
1/12/2025,Los Angeles,59.3
1/13/2025,Los Angeles,56.6
1/14/2025,Los Angeles,64.7
1/15/2025,Los Angeles,52.8
1/16/2025,Los Angeles,52.7
1/17/2025,Los Angeles,53.8
1/18/2025,Los Angeles,47.7
1/19/2025,Los Angeles,54.2
1/20/2025,Los Angeles,53.4
1/21/2025,Los Angeles,57.1
1/22/2025,Los Angeles,58
1/23/2025,Los Angeles,64.2
1/24/2025,Los Angeles,60.6
1/25/2025,Los Angeles,54.6
1/26/2025,Los Angeles,53.4
1/27/2025,Los Angeles,59.1
1/28/2025,Los Angeles,51.9
1/29/2025,Los Angeles,64.6
1/30/2025,Los Angeles,62.1
1/31/2025,Los Angeles,55.7
2/1/2025,Los Angeles,50.8
2/2/2025,Los Angeles,63.2
2/3/2025,Los Angeles,57.4
2/4/2025,Los Angeles,63
2/5/2025,Los Angeles,51.8
2/6/2025,Los Angeles,55.9
2/7/2025,Los Angeles,58.4
2/8/2025,Los Angeles,58.7
2/9/2025,Los Angeles,56.8
2/10/2025,Los Angeles,61.3
2/11/2025,Los Angeles,54.6
2/12/2025,Los Angeles,58.5
2/13/2025,Los Angeles,59.7
2/14/2025,Los Angeles,61.4
2/15/2025,Los Angeles,62.3
2/16/2025,Los Angeles,55.1
2/17/2025,Los Angeles,53.6
2/18/2025,Los Angeles,65
2/19/2025,Los Angeles,61.4
2/20/2025,Los Angeles,57.2
2/21/2025,Los Angeles,66.6
2/22/2025,Los Angeles,61
2/23/2025,Los Angeles,65.4
2/24/2025,Los Angeles,61.1
2/25/2025,Los Angeles,69.2
2/26/2025,Los Angeles,68.2
2/27/2025,Los Angeles,60.3
2/28/2025,Los Angeles,65.3
3/1/2025,Los Angeles,64.2
3/2/2025,Los Angeles,67.3
3/3/2025,Los Angeles,58.1
3/4/2025,Los Angeles,64.9
3/5/2025,Los Angeles,66.5
3/6/2025,Los Angeles,55.4
3/7/2025,Los Angeles,57.9
3/8/2025,Los Angeles,54.6
3/9/2025,Los Angeles,61.9
3/10/2025,Los Angeles,66
3/11/2025,Los Angeles,69.3
3/12/2025,Los Angeles,63.8
3/13/2025,Los Angeles,70.1
3/14/2025,Los Angeles,58.3
3/15/2025,Los Angeles,57.2
3/16/2025,Los Angeles,63.9
3/17/2025,Los Angeles,65.8
3/18/2025,Los Angeles,64.4
3/19/2025,Los Angeles,56.4
3/20/2025,Los Angeles,64.5
3/21/2025,Los Angeles,59.8
3/22/2025,Los Angeles,67.9
3/23/2025,Los Angeles,66.8
3/24/2025,Los Angeles,61.8
3/25/2025,Los Angeles,63.6
3/26/2025,Los Angeles,61.6
3/27/2025,Los Angeles,65.8
3/28/2025,Los Angeles,70
3/29/2025,Los Angeles,62.4
3/30/2025,Los Angeles,68.6
3/31/2025,Los Angeles,64.6
4/1/2025,Los Angeles,63.7
4/2/2025,Los Angeles,66.6
4/3/2025,Los Angeles,63.1
4/4/2025,Los Angeles,65.2
4/5/2025,Los Angeles,62.8
4/6/2025,Los Angeles,75.6
4/7/2025,Los Angeles,68
4/8/2025,Los Angeles,65.3
4/9/2025,Los Angeles,69.1
4/10/2025,Los Angeles,67.9
4/11/2025,Los Angeles,67.7
4/12/2025,Los Angeles,71.2
4/13/2025,Los Angeles,71.9
4/14/2025,Los Angeles,66.9
4/15/2025,Los Angeles,66.9
4/16/2025,Los Angeles,68.2
4/17/2025,Los Angeles,60.3
4/18/2025,Los Angeles,63.6
4/19/2025,Los Angeles,75.3
4/20/2025,Los Angeles,76.5
4/21/2025,Los Angeles,69.1
4/22/2025,Los Angeles,72.5
4/23/2025,Los Angeles,71.6
4/24/2025,Los Angeles,82.8
4/25/2025,Los Angeles,75.1
4/26/2025,Los Angeles,70.3
4/27/2025,Los Angeles,67.1
4/28/2025,Los Angeles,64.7
4/29/2025,Los Angeles,72
4/30/2025,Los Angeles,68.3
5/1/2025,Los Angeles,65.8
5/2/2025,Los Angeles,69
5/3/2025,Los Angeles,67.4
5/4/2025,Los Angeles,78.6
5/5/2025,Los Angeles,75.5
5/6/2025,Los Angeles,72.1
5/7/2025,Los Angeles,78.2
5/8/2025,Los Angeles,72.7
5/9/2025,Los Angeles,69
5/10/2025,Los Angeles,78.7
5/11/2025,Los Angeles,74.8
5/12/2025,Los Angeles,68.7
5/13/2025,Los Angeles,72.1
5/14/2025,Los Angeles,69.5
5/15/2025,Los Angeles,67.6
5/16/2025,Los Angeles,76.9
5/17/2025,Los Angeles,80.9
5/18/2025,Los Angeles,67.8
5/19/2025,Los Angeles,75.8
5/20/2025,Los Angeles,71
5/21/2025,Los Angeles,71.7
5/22/2025,Los Angeles,71.4
5/23/2025,Los Angeles,70.4
5/24/2025,Los Angeles,74.1
5/25/2025,Los Angeles,70.7
5/26/2025,Los Angeles,75.2
5/27/2025,Los Angeles,73.9
5/28/2025,Los Angeles,73.3
5/29/2025,Los Angeles,70.6
5/30/2025,Los Angeles,72
5/31/2025,Los Angeles,77.4
6/1/2025,Los Angeles,76.5
6/2/2025,Los Angeles,70.6
6/3/2025,Los Angeles,75
6/4/2025,Los Angeles,77.6
6/5/2025,Los Angeles,68
6/6/2025,Los Angeles,76.9
6/7/2025,Los Angeles,72.1
6/8/2025,Los Angeles,77.1
6/9/2025,Los Angeles,71.8
6/10/2025,Los Angeles,67.6
6/11/2025,Los Angeles,68.4
6/12/2025,Los Angeles,75.1
6/13/2025,Los Angeles,76
6/14/2025,Los Angeles,71.3
6/15/2025,Los Angeles,77.5
6/16/2025,Los Angeles,68.3
6/17/2025,Los Angeles,74.7
6/18/2025,Los Angeles,70.1
6/19/2025,Los Angeles,72.4
6/20/2025,Los Angeles,75.2
6/21/2025,Los Angeles,71.6
6/22/2025,Los Angeles,73.5
6/23/2025,Los Angeles,79
6/24/2025,Los Angeles,72.7
6/25/2025,Los Angeles,78.3
6/26/2025,Los Angeles,70.4
6/27/2025,Los Angeles,77.1
6/28/2025,Los Angeles,80.7
6/29/2025,Los Angeles,65
6/30/2025,Los Angeles,71.7
7/1/2025,Los Angeles,77.1
7/2/2025,Los Angeles,74
7/3/2025,Los Angeles,76.2
7/4/2025,Los Angeles,72.3
7/5/2025,Los Angeles,75
7/6/2025,Los Angeles,74
7/7/2025,Los Angeles,79.3
7/8/2025,Los Angeles,75.6
7/9/2025,Los Angeles,75.8
7/10/2025,Los Angeles,72.8
7/11/2025,Los Angeles,72.4
7/12/2025,Los Angeles,72.6
7/13/2025,Los Angeles,75.8
7/14/2025,Los Angeles,72.5
7/15/2025,Los Angeles,75.3
7/16/2025,Los Angeles,82.3
7/17/2025,Los Angeles,77.4
7/18/2025,Los Angeles,72.6
7/19/2025,Los Angeles,78.6
7/20/2025,Los Angeles,72.1
7/21/2025,Los Angeles,65.5
7/22/2025,Los Angeles,69.5
7/23/2025,Los Angeles,66
7/24/2025,Los Angeles,72
7/25/2025,Los Angeles,73.3
7/26/2025,Los Angeles,79.9
7/27/2025,Los Angeles,74.4
7/28/2025,Los Angeles,72.1
7/29/2025,Los Angeles,76.2
7/30/2025,Los Angeles,63.9
7/31/2025,Los Angeles,73.6
8/1/2025,Los Angeles,75.6
8/2/2025,Los Angeles,66.5
8/3/2025,Los Angeles,76.9
8/4/2025,Los Angeles,73.5
8/5/2025,Los Angeles,70.4
8/6/2025,Los Angeles,74.5
8/7/2025,Los Angeles,80.9
8/8/2025,Los Angeles,72.4
8/9/2025,Los Angeles,72.5
8/10/2025,Los Angeles,69.6
8/11/2025,Los Angeles,67.9
8/12/2025,Los Angeles,74.5
8/13/2025,Los Angeles,67.6
8/14/2025,Los Angeles,71.2
8/15/2025,Los Angeles,68.8
8/16/2025,Los Angeles,72.5
8/17/2025,Los Angeles,71.8
8/18/2025,Los Angeles,74.5
8/19/2025,Los Angeles,68.1
8/20/2025,Los Angeles,68.9
8/21/2025,Los Angeles,65.9
8/22/2025,Los Angeles,67.9
8/23/2025,Los Angeles,71.1
8/24/2025,Los Angeles,72.4
8/25/2025,Los Angeles,65.6
8/26/2025,Los Angeles,72.6
8/27/2025,Los Angeles,74.4
8/28/2025,Los Angeles,70.4
8/29/2025,Los Angeles,76.1
8/30/2025,Los Angeles,65.4
8/31/2025,Los Angeles,63.3
9/1/2025,Los Angeles,61
9/2/2025,Los Angeles,74
9/3/2025,Los Angeles,70.4
9/4/2025,Los Angeles,67.4
9/5/2025,Los Angeles,68.6
9/6/2025,Los Angeles,62.8
9/7/2025,Los Angeles,76.9
9/8/2025,Los Angeles,67.5
9/9/2025,Los Angeles,67.2
9/10/2025,Los Angeles,69.5
9/11/2025,Los Angeles,68.4
9/12/2025,Los Angeles,67.2
9/13/2025,Los Angeles,63
9/14/2025,Los Angeles,67.8
9/15/2025,Los Angeles,73.3
9/16/2025,Los Angeles,71
9/17/2025,Los Angeles,71.8
9/18/2025,Los Angeles,63.2
9/19/2025,Los Angeles,61.1
9/20/2025,Los Angeles,64.4
9/21/2025,Los Angeles,65
9/22/2025,Los Angeles,68.9
9/23/2025,Los Angeles,57.6
9/24/2025,Los Angeles,70.3
9/25/2025,Los Angeles,63.4
9/26/2025,Los Angeles,62.2
9/27/2025,Los Angeles,59.7
9/28/2025,Los Angeles,56.9
9/29/2025,Los Angeles,66.7
9/30/2025,Los Angeles,63.5
10/1/2025,Los Angeles,57.9
10/2/2025,Los Angeles,57.7
10/3/2025,Los Angeles,61.4
10/4/2025,Los Angeles,69.2
10/5/2025,Los Angeles,61.3
10/6/2025,Los Angeles,56.2
10/7/2025,Los Angeles,61
10/8/2025,Los Angeles,60.8
10/9/2025,Los Angeles,50.9
10/10/2025,Los Angeles,61.3
10/11/2025,Los Angeles,60.5
10/12/2025,Los Angeles,64
10/13/2025,Los Angeles,68.5
10/14/2025,Los Angeles,65.4
10/15/2025,Los Angeles,59.7
10/16/2025,Los Angeles,56.2
10/17/2025,Los Angeles,70.7
10/18/2025,Los Angeles,60.5
10/19/2025,Los Angeles,60.2
10/20/2025,Los Angeles,59.9
10/21/2025,Los Angeles,60.6
10/22/2025,Los Angeles,59.1
10/23/2025,Los Angeles,57.3
10/24/2025,Los Angeles,57.2
10/25/2025,Los Angeles,59.1
10/26/2025,Los Angeles,56.9
10/27/2025,Los Angeles,56.1
10/28/2025,Los Angeles,59.3
10/29/2025,Los Angeles,57.7
10/30/2025,Los Angeles,64.6
10/31/2025,Los Angeles,47.8
11/1/2025,Los Angeles,62.7
11/2/2025,Los Angeles,63.2
11/3/2025,Los Angeles,49.8
11/4/2025,Los Angeles,56.6
11/5/2025,Los Angeles,56.3
11/6/2025,Los Angeles,52.1
11/7/2025,Los Angeles,54.5
11/8/2025,Los Angeles,53
11/9/2025,Los Angeles,64.4
11/10/2025,Los Angeles,61
11/11/2025,Los Angeles,62.2
11/12/2025,Los Angeles,59.9
11/13/2025,Los Angeles,52.4
11/14/2025,Los Angeles,54.7
11/15/2025,Los Angeles,58.7
11/16/2025,Los Angeles,51.8
11/17/2025,Los Angeles,59.4
11/18/2025,Los Angeles,55.5
11/19/2025,Los Angeles,54.9
11/20/2025,Los Angeles,59.1
11/21/2025,Los Angeles,58
11/22/2025,Los Angeles,54.7
11/23/2025,Los Angeles,60.7
11/24/2025,Los Angeles,51.6
11/25/2025,Los Angeles,58.4
11/26/2025,Los Angeles,58.2
11/27/2025,Los Angeles,54.5
11/28/2025,Los Angeles,57
11/29/2025,Los Angeles,50.6
11/30/2025,Los Angeles,59.3
12/1/2025,Los Angeles,54.8
12/2/2025,Los Angeles,53.4
12/3/2025,Los Angeles,59.6
12/4/2025,Los Angeles,52.5
12/5/2025,Los Angeles,49.7
12/6/2025,Los Angeles,49.1
12/7/2025,Los Angeles,57.7
12/8/2025,Los Angeles,50.1
12/9/2025,Los Angeles,62.2
12/10/2025,Los Angeles,46.8
12/11/2025,Los Angeles,61.9
12/12/2025,Los Angeles,55.9
12/13/2025,Los Angeles,54.7
12/14/2025,Los Angeles,52.9
12/15/2025,Los Angeles,56.6
12/16/2025,Los Angeles,54.9
12/17/2025,Los Angeles,59.4
12/18/2025,Los Angeles,55.5
12/19/2025,Los Angeles,55.6
12/20/2025,Los Angeles,53.5
12/21/2025,Los Angeles,54.8
12/22/2025,Los Angeles,56.2
12/23/2025,Los Angeles,48.2
12/24/2025,Los Angeles,49.6
12/25/2025,Los Angeles,58
12/26/2025,Los Angeles,55.7
12/27/2025,Los Angeles,54.3
12/28/2025,Los Angeles,55.2
12/29/2025,Los Angeles,56.5
12/30/2025,Los Angeles,53
12/31/2025,Los Angeles,52.1
